Counties,Population ,Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability - Score,Social Vulnerability - Rating,Social Vulnerability - State Percentile,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Exposure - Impacted Area (sq mi),Riverine Flooding - Exposure - Building Value,Riverine Flooding - Exposure - Population,Riverine Flooding - Exposure - Population Equivalence,Riverine Flooding - Exposure - Agriculture Value,Riverine Flooding - Exposure - Total,Riverine Flooding - Historic Loss Ratio - Total Rating,Riverine Flooding - Expected Annual Loss - Building Value,Riverine Flooding - Expected Annual Loss - Population Equivalence,Riverine Flooding - Expected Annual Loss - Agriculture Value,Riverine Flooding - Expected Annual Loss - Total,Riverine Flooding - Expected Annual Loss Score,Riverine Flooding - Expected Annual Loss Rating,Riverine Flooding - Expected Annual Loss Rate - National Percentile,Tornado - Number of Events,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - National Percentile,Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Hazard Type Risk Index Rating
"Bayamón, Puerto Rico",184904,45.01,97.55,Relatively High,97.44,163324798.1,"$146,843,012.69",16481785,96.72,96.4,Very High,0.95,0.17,"$153,254,198.54",1118,12976860340,13130114539,Very Low,"$11,819.12",11920.22,33.85,Very Low,28.89,22,45.01,"$28,886,914,084.45",184879,Very High,"$119,331,538.21",3564412,$0.00,122895950.7,98.36,Relatively High,95.72,7,0.63,"$1,021,670,165.84",5742,66609988431,$0.00,67631658597,Relatively Moderate,"$7,837,540.13",322793,$0.00,8160333.3,96.13,Relatively High,88.83,1,45.01,"$28,889,480,450.00",184904,$0.00,2.17378E+12,Relatively High,"$52,323.12",49522,$0.00,101845.49,15.82,Very Low,5.43,0,0,0.41,"$613,907,631.26",3731,43899012615,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Cabo Rojo, Puerto Rico",47146,179.2,90.9,Relatively Moderate,84.62,43314634.37,"$37,438,908.59",5875725,99.01,92.45,Very High,0.77,0.7,"$410,179,198.51",1984,23014847454,23425026653,Relatively High,"$1,685,069.93",1686907.81,81.2,Relatively Moderate,89.91,29,73,"$6,225,921,236.99",47137,Very High,"$28,993,121.71",1012026,$0.00,30005147.74,94.29,Relatively Moderate,97.97,1,3.57,"$495,758,266.90",2724,31604431952,$0.00,32100190219,Relatively Moderate,"$960,594.69",21879,$0.00,982474.06,70.23,Relatively Low,81.62,0,179.2,"$6,226,897,067.00",47146,$0.00,5.5312E+11,Relatively Moderate,"$8,464.44",9474,$0.00,17938.82,7.2,Very Low,3.94,1,0,1.2,"$711,105,724.64",3753,44254540669,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Caguas, Puerto Rico",127110,59.66,96.1,Relatively High,94.87,111666728.3,"$101,057,677.99",9715938,96.29,90.28,Very High,0.67,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,59.66,"$19,819,094,399.49",127060,Very High,"$81,882,505.84",2450234,"$713,508.10",85046248.87,97.45,Relatively High,95.5,6,1.33,"$2,034,364,693.40",10813,1.25434E+11,"$3,259,653.57",1.27471E+11,Relatively Low,"$6,967,908.11",29244,"$4,410.20",7001562.94,95.39,Relatively High,94.4,0,59.66,"$19,826,091,519.00",127110,"$59,731,745.00",1.49436E+12,Relatively Moderate,"$35,894.88",34030,$32.92,69958.22,13.8,Very Low,4.84,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Camuy, Puerto Rico",32797,62.59,83.29,Relatively Low,48.72,22181909.99,"$18,491,004.91",3690905,96.35,70,Relatively High,0.03,0.06,"$67,071,622.99",173,2011156806,2078228429,Relatively Low,"$3,610.52",3689.81,29.74,Very Low,35.56,19,46.83,"$3,642,529,696.11",32796,Very High,"$15,047,251.86",632309,$0.00,15679561.19,89.28,Relatively Moderate,96.37,3,0.05,"$56,516,535.00",143,1669447485,$0.00,1725964021,Relatively Moderate,"$196,976.06",3467,$0.00,200443.28,36.34,Relatively Low,58.28,0,62.59,"$3,642,557,724.00",32797,$0.00,3.84088E+11,Relatively Moderate,"$6,596.50",8785,$0.00,15382.02,6.51,Very Low,5.77,0,0,0.2,"$195,776,210.29",1073,12649091168,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Canóvanas, Puerto Rico",42309,33.34,87.81,Relatively Moderate,70.51,31705436.61,"$27,832,005.56",3873431,97.9,93.91,Very High,0.81,0.22,"$174,510,445.83",1668,19359490516,19534000962,Relatively Low,"$33,126.31",33528.33,42.39,Very Low,50.77,21,33.34,"$4,418,573,992.08",42308,Very High,"$23,120,571.39",1033205,$0.00,24153777.38,92.82,Relatively Moderate,99.18,2,1.06,"$498,617,044.97",5485,63636005483,$0.00,64134622528,Relatively Moderate,"$1,695,722.28",88108,$0.00,1783831.19,81.77,Relatively Moderate,92.05,0,33.34,"$4,418,667,975.00",42309,$0.00,4.95203E+11,Relatively High,"$3,201.68",4532,$0.00,7734.29,4.31,Very Low,2.05,0,0,0.02,"$11,177,864.03",112,1315292276,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Carolina, Puerto Rico",154696,60.93,97.71,Relatively High,98.72,166078186.2,"$149,832,426.52",16245759,99.26,91.49,Very High,0.73,2.86,"$5,284,421,954.26",31025,3.59896E+11,3.65181E+11,Relatively Low,"$992,780.35",1000358,74.87,Relatively Moderate,68.55,21,48.19,"$22,829,875,042.44",154691,Very High,"$115,040,662.82",3678014,$0.00,118718677.8,98.23,Relatively High,98.57,8,3.4,"$5,906,698,030.67",38804,4.50128E+11,$0.00,4.56035E+11,Relatively Low,"$18,874,721.44",2492946,$0.00,21367667.65,98.76,Relatively High,97.34,0,60.93,"$22,830,486,647.00",154696,$0.00,1.8173E+12,Relatively High,"$20,912.93",19698,$0.00,40611.2,10.61,Very Low,2.85,0,0,1.24,"$3,872,632,654.42",14962,1.77441E+11,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Cataño, Puerto Rico",23068,7.07,88.52,Relatively Moderate,74.36,34100642.42,"$31,979,874.21",2120768,99.6,96.21,Very High,0.94,2.05,"$3,451,706,150.52",21452,2.48852E+11,2.52303E+11,Relatively Moderate,"$7,030,309.22",7045891.91,94.87,Relatively High,99.32,19,5.1,"$4,414,718,803.00",23067,Very High,"$18,237,156.93",444731,$0.00,18681888.45,90.58,Relatively Moderate,96.28,3,0.72,"$1,113,624,195.46",7071,82030168807,$0.00,83143793003,Relatively Moderate,"$3,881,294.36",170365,$0.00,4051659.92,91.89,Relatively Moderate,98.17,0,7.07,"$4,414,768,385.00",23068,$0.00,2.72004E+11,Very High,"$8,008.11",6178,$0.00,14186.57,6.2,Very Low,5.86,2,0,1.23,"$1,999,933,233.37",12093,1.42285E+11,Relatively Low,"$1,554.75",588,2143.66,57.81,Relatively Low,Insufficient Data
"Cayey, Puerto Rico",41588,52.49,85.98,Relatively Moderate,56.41,26880423.25,"$23,917,646.54",2962776,93.87,87.73,Very High,0.55,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,52.49,"$5,004,214,789.39",41578,Very High,"$20,687,945.97",802860,$0.00,21490806.71,91.79,Relatively Moderate,96.63,1,0.37,"$183,931,867.06",1176,13650663841,$0.00,13834595709,Relatively Moderate,"$282,904.16",5376,$0.00,288280.38,43.83,Relatively Low,59.64,0,52.49,"$5,005,389,032.00",41588,$0.00,4.87426E+11,Relatively Moderate,"$9,050.04",11103,$0.00,20153.78,7.69,Very Low,4.78,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Ceiba, Puerto Rico",11307,160.44,74.56,Relatively Low,23.08,13724663.97,"$12,717,381.27",1007282,99.04,77.61,Relatively High,0.15,0.18,"$174,031,266.11",56,649973924,824005190.1,Very High,"$321,836.98",321912.19,63.59,Relatively Low,83.93,33,29.66,"$2,093,961,987.32",11304,Very High,"$10,956,837.59",276071,$0.00,11232909.51,86.6,Relatively Moderate,99.09,0,0.24,"$232,300,403.77",714,8283895504,$0.00,8516195909,Relatively Moderate,"$95,223.49",1376,$0.00,96599.85,25.29,Very Low,54.94,0,160.44,"$2,094,201,636.00",11307,$0.00,1.33255E+11,Relatively High,"$1,517.33",1211,$0.00,2728.77,2.11,Very Low,2.14,0,0,0.18,"$253,152,968.92",36,682068476.4,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Ciales, Puerto Rico",16965,67.38,69.76,Relatively Low,8.97,10984336.45,"$9,447,463.03",1536873,94.8,92.02,Very High,0.76,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,67.38,"$1,943,548,299.16",16964,Very High,"$8,028,777.62",327079,$0.00,8355856.69,84.52,Relatively Moderate,96.45,2,0.13,"$90,979,162.60",509,5912908588,$0.00,6003887751,Relatively Low,"$13,329.56",10415,$0.00,23745.55,12.07,Very Low,14.05,0,67.38,"$1,943,557,018.00",16965,$0.00,1.98738E+11,Relatively Moderate,"$3,519.33",4543,$0.00,8063.15,4.53,Very Low,5.27,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Cidra, Puerto Rico",39945,36.82,87.12,Relatively Moderate,65.38,29670502.08,"$26,732,605.94",2937896,94.71,74.01,Relatively High,0.08,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,21,36.82,"$5,633,808,506.00",39944,Very High,"$23,273,203.67",770115,$0.00,24043319.11,92.74,Relatively Moderate,96.07,1,0.07,"$57,049,742.34",300,3490972395,$0.00,3548022138,Relatively Low,"$4,128.48",5189,$0.00,9318.31,7.89,Very Low,4.15,0,36.82,"$5,633,937,770.00",39945,$0.00,4.68996E+11,Relatively High,"$10,298.73",10734,$0.00,21033.27,7.91,Very Low,6.36,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Coamo, Puerto Rico",34615,78.82,83.78,Relatively Moderate,50,23055718.8,"$20,339,364.33",2716354,94.77,79.94,Relatively High,0.22,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,78.82,"$4,136,286,540.34",34605,Very High,"$17,774,286.77",694194,$0.00,18468481.44,90.45,Relatively Moderate,97.32,2,0.11,"$84,878,348.27",629,7298922158,$0.00,7383800507,Very Low,"$12,607.39",3369,$0.00,15976.58,10.21,Very Low,8.51,0,78.82,"$4,137,012,363.00",34615,$0.00,4.05671E+11,Relatively Moderate,"$6,858.22",8482,$0.00,15341.03,6.48,Very Low,4.59,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Comerío, Puerto Rico",18883,28.81,69.92,Relatively Low,10.26,11057629.77,"$9,537,397.09",1520232,93.69,87.33,Very High,0.51,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,28.81,"$1,969,397,210.06",18882,Very High,"$8,135,559.16",364054,$0.00,8499613.5,84.74,Relatively Moderate,96.33,1,0.09,"$96,608,298.81",644,7480924073,$0.00,7577532372,Relatively Moderate,"$119,473.53",5309,$0.00,124782.97,29.25,Very Low,59.27,0,28.81,"$1,969,412,369.00",18883,$0.00,2.21012E+11,Relatively High,"$3,568.73",5061,$0.00,8630.42,4.65,Very Low,6.05,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Corozal, Puerto Rico",34564,43,81.99,Relatively Low,43.59,20944824.01,"$17,980,972.57",2963851,94.12,81.68,Very High,0.27,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,43,"$3,714,675,222.16",34563,Very High,"$15,345,284.27",666379,$0.00,16011663.71,89.36,Relatively Moderate,96.41,1,0.03,"$37,134,248.38",190,2206374175,$0.00,2243508424,Relatively Low,"$6,915.24",1599,$0.00,8515.09,7.64,Very Low,6.53,0,43,"$3,714,703,179.00",34564,$0.00,4.04657E+11,Relatively Moderate,"$6,726.45",9257,$0.00,15984.05,6.73,Very Low,5.37,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Culebra, Puerto Rico",1660,170.54,32.84,Very Low,1.28,3427030.57,"$3,216,786.40",210244,99.97,86.3,Very High,0.46,0.05,"$33,313,256.23",182,2116491350,2149804606,Relatively High,"$148,162.90",148355.15,54.53,Relatively Low,95.04,33,12.71,"$249,775,160.00",1660,Relatively High,"$2,820,304.06",87478,$0.00,2907782.48,75.92,Relatively Low,99.96,0,0.03,"$22,110,686.77",119,1380891767,$0.00,1403002454,Relatively Moderate,"$6,164.96",229,$0.00,6394.39,6.75,Very Low,38.38,0,170.54,"$256,250,576.00",1660,$0.00,19512250576,Relatively High,$371.76,356,$0.00,728.63,1.3,Very Low,4.25,0,0,0.06,"$40,507,329.20",224,2648808837,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Dorado, Puerto Rico",35792,54.25,86.17,Relatively Moderate,57.69,27415540.74,"$24,083,349.41",3332191,95.76,80.93,Very High,0.24,0.22,"$192,914,591.53",1483,17203687629,17396602221,Relatively Moderate,"$262,185.77",262645.16,61.03,Relatively Low,71.79,21,23.64,"$4,912,823,209.79",35781,Very High,"$20,294,821.00",689848,$0.00,20984669.15,91.66,Relatively Moderate,95.55,3,2.87,"$784,673,073.62",6068,70392526439,$0.00,71177199513,Very Low,"$29,873.41",146195,$0.00,176069.16,34.45,Relatively Low,34.88,0,54.25,"$4,913,842,049.00",35792,$0.00,4.20101E+11,Relatively High,"$8,932.85",9600,$0.00,18533.46,7.29,Very Low,6.23,0,0,0.82,"$754,374,644.42",4356,51289437910,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Fajardo, Puerto Rico",32057,106.39,88.21,Relatively Moderate,71.79,33233309.11,"$30,198,914.72",3034394,98.85,96.18,Very High,0.92,0.26,"$229,187,515.88",1024,11884303971,12113491488,Relatively High,"$705,503.59",706222.67,71.45,Relatively Low,83.08,32,30.65,"$4,914,842,738.45",32051,Very High,"$25,720,790.61",782725,$0.00,26503516.3,93.6,Relatively Moderate,99.35,15,1.02,"$215,925,812.47",1105,12825550773,$0.00,13041476585,Relatively Low,"$496,130.88",171173,$0.00,667304.54,61.96,Relatively Low,66.79,0,106.39,"$4,915,317,187.00",32057,$0.00,3.76777E+11,Relatively High,"$3,574.16",3444,$0.00,7018.78,4,Very Low,2.48,2,0,0.35,"$303,336,735.75",1419,16772483357,Relatively Low,$38.11,16,54.95,39.84,Very Low,Insufficient Data
"Florida, Puerto Rico",11692,15.38,59.95,Relatively Low,6.41,7593625.58,"$6,478,404.86",1115220,94.99,80.75,Very High,0.23,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,19,15.38,"$1,326,467,294.45",11691,Very High,"$5,479,622.44",225412,$0.00,5705034.88,82.01,Relatively Low,95.98,0,0,$0.00,0,0,$0.00,0,No Rating,$0.00,0,$0.00,0,0,No Expected Annual Losses,0,0,15.38,"$1,326,507,424.00",11692,$0.00,1.36954E+11,Relatively High,"$2,402.45",3132,$0.00,5534.64,3.32,Very Low,5.89,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Guánica, Puerto Rico",13761,80.27,74.5,Relatively Low,21.79,13675518.75,"$12,067,170.43",1608348,99.23,90.81,Very High,0.68,0.43,"$440,512,928.42",1850,21466624438,21907137367,Relatively Moderate,"$1,250,229.38",1251381.52,78.46,Relatively Moderate,95.73,25,37.79,"$1,841,184,088.44",13760,Very High,"$8,978,707.36",312687,$0.00,9291394.9,85.39,Relatively Moderate,98.44,1,1.85,"$512,134,793.59",2426,28144181444,$0.00,28656316238,Relatively Moderate,"$339,222.51",19483,$0.00,358706.39,48.1,Relatively Low,82.79,0,80.27,"$1,841,199,352.00",13761,$0.00,1.61469E+11,Relatively High,"$3,099.48",3436,$0.00,6536.36,3.82,Very Low,4.65,1,0,0.32,"$385,624,668.99",1067,12773767784,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Guayama, Puerto Rico",36538,107.9,89.11,Relatively Moderate,78.21,35850312.56,"$33,182,011.66",2668300,97.86,91.74,Very High,0.74,0.69,"$396,072,448.09",2214,25692618778,26088691227,Relatively Moderate,"$1,303,524.81",1305073.4,78.97,Relatively Moderate,88.89,24,66.68,"$5,952,722,383.00",36526,Very High,"$28,667,037.52",819088,$0.00,29486125.9,94.12,Relatively Moderate,98.27,0,1.01,"$724,962,158.47",4650,53948855963,$0.00,54673818122,Very Low,"$4,708.71",8270,$0.00,12978.84,9.07,Very Low,5.01,0,107.9,"$5,954,075,469.00",36538,$0.00,4.29795E+11,Relatively Moderate,"$7,044.79",6461,$0.00,13506.19,6.02,Very Low,3.47,0,0,0.57,"$315,481,444.30",2109,24782380513,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Guayanilla, Puerto Rico",17690,64.89,72.58,Relatively Low,19.23,12563554.55,"$10,583,902.88",1979651,97.99,87.61,Very High,0.53,0.33,"$172,433,296.30",1372,15924272002,16096705299,Relatively Moderate,"$767,458.96",769293.1,72.48,Relatively Low,93.16,26,42.71,"$1,798,625,817.72",17683,Very High,"$8,296,677.36",380314,$0.00,8676992.3,84.87,Relatively Moderate,97.84,1,1.81,"$394,346,439.25",2578,29908129070,$0.00,30302475510,Relatively Low,"$64,968.96",20705,$0.00,85674.01,23.77,Very Low,40.08,0,64.89,"$1,798,983,528.00",17690,$0.00,2.07003E+11,Relatively Moderate,"$3,257.60",4737,$0.00,7995.57,4.44,Very Low,5.21,0,0,0.19,"$129,620,611.17",882,10371046604,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Guaynabo, Puerto Rico",89604,28.05,95.11,Relatively Moderate,92.31,86773068.5,"$79,005,219.70",7767848,95.98,87.98,Very High,0.59,0.45,"$565,647,032.69",4299,49873162948,50438809981,Relatively Low,"$270,323.71",273064.2,61.88,Relatively Low,58.97,22,27.92,"$16,535,981,568.82",89594,Very High,"$68,309,965.91",1727349,$0.00,70037315.32,96.93,Relatively High,95.63,14,0.69,"$1,298,987,685.03",5575,64672206832,$0.00,65971194518,Very Low,"$95,379.82",626805,$0.00,722185.1,63.76,Relatively Low,49.89,1,28.05,"$16,537,807,152.00",89604,$0.00,1.05594E+12,Relatively High,"$29,947.34",23998,$0.00,53946.09,12.22,Very Low,5.33,0,0,0.22,"$339,838,997.20",1156,13753717458,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Gurabo, Puerto Rico",40562,28.6,88.33,Relatively Moderate,73.08,33693077.09,"$30,064,491.77",3628585,97.46,83.6,Very High,0.33,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,28.6,"$5,506,702,319.57",40550,Very High,"$26,418,871.28",938872,$0.00,27357743.54,93.73,Relatively Moderate,98.14,3,1.62,"$483,765,290.28",4010,46521938899,$0.00,47005704190,Very Low,"$15,153.27",15566,$0.00,30719.46,13.59,Very Low,7.74,0,28.6,"$5,507,762,950.00",40562,$0.00,4.76027E+11,Relatively High,"$6,359.30",5961,$0.00,12321,5.77,Very Low,3.1,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Hatillo, Puerto Rico",38444,59.35,86.32,Relatively Moderate,60.26,27883297.7,"$23,855,692.64",4027605,96.19,73.29,Relatively High,0.06,0.04,"$33,380,999.09",174,2027191585,2060572585,Very Low,"$2,338.67",2392.25,28.21,Very Low,29.23,20,42.26,"$4,799,428,629.61",38441,Very High,"$19,826,389.18",741133,$0.00,20567523.11,91.35,Relatively Moderate,95.89,2,0.16,"$75,957,548.90",418,4855137046,$0.00,4931094595,Relatively Low,"$34,029.08",6722,$0.00,40751.39,15.85,Very Low,15.51,0,59.35,"$4,799,715,836.00",38444,$0.00,4.5075E+11,Relatively High,"$8,694.07",10300,$0.00,18994.54,7.38,Very Low,5.96,0,0,0.43,"$472,749,639.13",2462,29040926638,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Hormigueros, Puerto Rico",15604,11.46,71.03,Relatively Low,11.54,11715267.47,"$9,824,949.91",1890317,97.59,94.63,Very High,0.86,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,23,11.46,"$1,909,897,272.01",15603,Very High,"$8,152,757.72",310868,$0.00,8463625.93,84.65,Relatively Moderate,97.15,3,2.25,"$489,578,213.46",3519,40831646153,$0.00,41321224367,Very Low,"$10,946.17",84801,$0.00,95747.97,25.19,Very Low,43.64,0,11.46,"$1,909,898,089.00",15604,$0.00,1.82916E+11,Relatively High,"$2,593.64",3134,$0.00,5728,3.41,Very Low,3.66,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Humacao, Puerto Rico",50798,72.12,92.7,Relatively Moderate,88.46,55944019.87,"$51,223,522.88",4720496,98.76,87.08,Very High,0.49,1.18,"$1,188,484,393.00",6332,73451489075,74639973469,Relatively Moderate,"$1,449,820.06",1451524.64,80.17,Relatively Moderate,85.47,21,45.44,"$8,474,797,408.53",50797,Very High,"$44,345,112.00",1240511,$0.00,45585623.54,95.68,Relatively High,98.96,15,3.19,"$1,834,083,069.41",7715,89500799478,$0.00,91334882548,Very Low,"$260,474.57",618090,$0.00,878565.47,67.72,Relatively Low,65.89,1,72.12,"$8,476,694,432.00",50798,$0.00,5.97733E+11,Relatively High,"$6,152.23",5447,$0.00,11599.94,5.55,Very Low,2.36,1,0,0.84,"$732,940,556.17",4276,50338472000,Very Low,$4.12,1,5.79,38.28,Very Low,Insufficient Data
"Isabela, Puerto Rico",42892,92.78,87.77,Relatively Moderate,69.23,31640578.79,"$26,337,823.59",5302755,97.71,87.83,Very High,0.58,0.05,"$20,765,730.11",73,852127552,872893282.7,Relatively Low,"$2,791.24",2821.97,28.72,Very Low,30.09,19,55.95,"$5,099,595,040.11",42891,Very High,"$21,311,311.81",838506,$0.00,22149818.18,92,Relatively Moderate,96.71,1,0.07,"$23,088,099.27",96,1121151796,$0.00,1144239896,Relatively Moderate,"$50,184.42",776,$0.00,50960.58,18.14,Very Low,21.85,0,92.78,"$5,099,611,674.00",42892,$0.00,5.02647E+11,Relatively Moderate,"$6,855.50",8541,$0.00,15396.62,6.54,Very Low,3.6,1,0,0.23,"$102,411,578.12",746,8766384996,Relatively Moderate,$275.19,101,376.41,45.31,Very Low,Insufficient Data
"Jayuya, Puerto Rico",14779,44.98,64.65,Relatively Low,7.69,8812256.17,"$7,479,985.83",1332270,94.43,87.05,Very High,0.47,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,21,44.98,"$1,543,280,136.00",14778,Very High,"$6,375,274.01",284931,$0.00,6660205.08,83.31,Relatively Low,96.02,1,0.19,"$193,955,110.46",1031,11960923382,$0.00,12154878493,Very Low,"$7,112.42",1679,$0.00,8792.26,7.74,Very Low,11.42,0,44.98,"$1,543,319,086.00",14779,$0.00,1.7298E+11,Relatively Moderate,"$2,794.47",3958,$0.00,6752.7,3.88,Very Low,4.93,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Juana Díaz, Puerto Rico",46316,108.2,87.53,Relatively Moderate,66.67,30817513.99,"$26,898,593.13",3918920,95.51,92.55,Very High,0.78,0.67,"$429,920,786.21",3950,45822385777,46252306563,Relatively Moderate,"$696,610.82",698046.19,71.11,Relatively Low,82.56,25,61.33,"$4,987,056,036.29",46306,Very High,"$22,919,788.88",990930,$0.00,23910719.29,92.61,Relatively Moderate,97.8,1,3.75,"$765,306,021.49",6331,73448102164,$0.00,74213408186,Relatively Low,"$105,976.35",50847,$0.00,156823.61,32.59,Very Low,28.54,0,108.2,"$4,988,137,859.00",46316,$0.00,5.42254E+11,Relatively Moderate,"$8,900.39",12215,$0.00,21115.46,7.94,Very Low,4.68,0,0,0.33,"$186,486,685.00",1754,20539072608,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Juncos, Puerto Rico",36808,26.88,86.54,Relatively Moderate,61.54,28502929.12,"$25,497,895.83",3005033,97.28,89.41,Very High,0.64,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,23,26.88,"$4,358,423,184.09",36798,Very High,"$22,805,827.08",898656,$0.00,23704483.8,92.56,Relatively Moderate,99.01,2,0.67,"$135,419,414.92",669,7768224291,$0.00,7903643706,Very Low,"$7,720.81",17653,$0.00,25374.3,12.47,Very Low,7.43,0,26.88,"$4,359,239,038.00",36808,$0.00,4.31332E+11,Relatively High,"$3,160.67",3944,$0.00,7105.39,4.03,Very Low,2.23,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Lajas, Puerto Rico",23255,102.15,79.57,Relatively Low,38.46,17619951.81,"$14,596,987.06",3022964,98.95,86.12,Very High,0.45,0.24,"$82,749,766.89",446,5178366777,5261116544,Relatively High,"$548,892.78",549550.92,68.55,Relatively Low,89.57,25,60.98,"$2,242,099,432.85",23252,Very High,"$11,944,841.83",575934,$0.00,12520776.81,87.33,Relatively Moderate,99.39,0,7.31,"$76,016,863.65",570,6615474585,$0.00,6691491449,Relatively Moderate,"$39,238.73",1099,$0.00,40337.88,15.72,Very Low,31.72,1,102.15,"$2,242,221,478.00",23255,$0.00,2.72E+11,Relatively Moderate,"$3,051.71",4679,$0.00,7730.79,4.28,Very Low,3.97,3,0.01,0.31,"$149,434,541.66",1200,14070115705,Relatively Low,"$1,079.87",397,1477.65,53.91,Relatively Low,Insufficient Data
